Timestamp,Initials,Height,Wingspan,Hand span,Reaction time,Free-throws made,Birth month,Hair color
2025-11-05 09:55:55,PY31,168,171,19.8,0.219,3,November,Brown
2025-11-05 09:56:38,QZ64,174,177,21.1,0.199,4,April,Black
2025-11-05 09:57:12,RA17,163,166,18.6,0.246,3,June,Blonde
2025-11-05 09:58:46,SC50,170,173,20.2,0.214,3,October,Brown
2025-11-05 09:59:29,TD93,157,159,17.4,0.274,1,March,Brown
2025-11-05 10:00:03,UF26,167,170,19.3,0.229,3,August,Black
2025-11-05 10:01:37,VG59,173,176,20.7,0.204,4,January,Brown
2025-11-05 10:02:21,WH82,161,164,18.2,0.256,2,July,Blonde
2025-11-05 10:03:55,XJ35,169,172,19.9,0.221,3,December,Black
2025-11-05 10:04:38,YK68,176,179,21.6,0.189,5,May,Brown
2025-11-05 10:05:12,ZL01,159,161,17.7,0.263,2,September,Red
2025-11-05 10:06:46,AM44,165,168,18.8,0.241,3,February,Brown
2025-11-05 10:07:29,BN77,171,174,20.3,0.208,4,November,Black
2025-11-05 10:08:03,CP20,156,158,17.2,0.281,1,April,Brown
2025-11-05 10:09:37,DQ53,164,167,18.5,0.249,3,June,Blonde
2025-11-05 10:10:21,ER86,170,173,20.0,0.216,3,October,Black
2025-11-05 10:11:55,FS39,162,165,18.3,0.253,2,March,Brown
2025-11-05 10:12:38,GT72,168,171,19.5,0.225,3,August,Brown
2025-11-05 10:13:12,HU15,175,178,21.4,0.193,4,January,Black
2025-11-05 10:14:46,JV48,158,160,17.6,0.268,2,July,Red
2025-11-05 10:15:29,KW81,166,169,19.2,0.231,3,December,Brown
2025-11-05 10:16:03,LX24,172,175,20.5,0.210,4,May,Black
2025-11-05 10:17:37,MY67,160,162,17.8,0.264,2,September,Blonde
2025-11-05 10:18:21,NZ90,167,170,19.4,0.228,3,February,Brown
2025-11-05 10:19:55,PA33,174,177,21.0,0.197,4,November,Black
2025-11-05 10:20:38,QB66,163,166,18.7,0.244,3,April,Brown
2025-11-05 10:21:12,RC09,169,172,19.6,0.220,3,June,Brown
2025-11-05 10:22:46,SD42,157,159,17.3,0.272,1,October,Red
2025-11-05 10:23:29,TE85,165,168,18.9,0.239,3,March,Black
2025-11-05 10:24:03,UF28,171,174,20.4,0.207,4,August,Brown
2025-11-05 10:25:37,VG71,161,164,18.1,0.257,2,January,Blonde
2025-11-05 10:26:21,WH14,168,171,19.7,0.222,3,July,Brown
2025-11-05 10:27:55,XJ57,176,179,21.5,0.190,4,December,Black
2025-11-05 10:28:38,YK00,159,161,17.5,0.266,2,May,Brown
2025-11-05 10:29:12,ZL43,166,169,19.0,0.235,3,September,Brown
2025-11-05 10:30:46,AM86,172,175,20.6,0.205,4,February,Black
2025-11-05 10:31:29,BN29,158,160,17.4,0.275,1,November,Red
2025-11-05 10:32:03,CP62,164,167,18.6,0.247,3,April,Brown
2025-11-05 10:33:37,DQ05,170,173,20.1,0.213,3,June,Black
2025-11-05 10:34:21,ER38,162,165,18.2,0.255,2,October,Blonde
2025-11-05 10:35:55,FS91,169,172,19.8,0.224,3,March,Brown
2025-11-05 10:36:38,GT24,175,178,21.3,0.195,4,August,Black
2025-11-05 10:37:12,HU47,157,159,17.1,0.279,1,January,Brown
2025-11-05 10:38:46,JV80,165,168,18.8,0.242,3,July,Brown
2025-11-05 10:39:29,KW23,171,174,20.3,0.209,4,December,Black
2025-11-05 10:40:03,LX66,160,162,17.7,0.262,2,May,Red
2025-11-05 10:41:37,MY19,167,170,19.3,0.230,3,September,Brown
2025-11-05 10:42:21,NZ52,173,176,20.8,0.202,4,February,Black
2025-11-05 10:43:55,PA95,163,166,18.5,0.250,2,November,Blonde
2025-11-05 10:44:38,QB38,169,172,19.6,0.226,3,April,Brown
2025-11-05 10:45:12,RC71,176,179,21.7,0.188,5,June,Black
2025-11-05 10:46:46,SD14,161,164,18.4,0.252,2,October,Brown
2025-11-05 10:47:29,TE57,168,171,19.9,0.217,3,March,Brown
2025-11-05 10:48:03,UF00,174,177,21.1,0.200,4,August,Black
2025-11-05 10:49:37,VG43,159,161,17.6,0.270,2,January,Red
2025-11-05 10:50:21,WH86,166,169,19.1,0.233,3,July,Brown
2025-11-05 10:51:55,XJ29,172,175,20.5,0.211,4,December,Black
2025-11-05 10:52:38,YK62,158,160,17.2,0.277,1,May,Blonde
2025-11-05 10:53:12,ZL05,164,167,18.7,0.245,3,September,Brown
2025-11-05 10:54:46,AM48,170,173,20.0,0.215,3,February,Brown
2025-11-05 10:55:29,BN91,162,165,18.3,0.254,2,November,Black
2025-11-05 10:56:03,CP34,168,171,19.5,0.227,3,April,Brown
2025-11-05 10:57:37,DQ77,175,178,21.4,0.192,4,June,Black
2025-11-05 10:58:21,ER20,160,162,17.9,0.260,2,October,Red
2025-11-05 10:59:55,FS63,167,170,19.4,0.237,3,March,Brown
