Team,Year,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Milwaukee Bucks,2015,82,99.0,38.4,82.2,46.7,5.4,15.6,34.5,17.0,22.7,74.7,10.5,31.2,41.7,23.1,8.2,5.8,14.6,20.7
Minnesota Timberwolves,2015,82,102.4,37.7,81.3,46.4,5.5,16.4,33.8,21.4,27.0,79.2,10.0,31.5,41.6,23.4,8.0,4.6,14.4,20.7
New Orleans Pelicans,2015,82,102.7,38.5,85.9,44.8,8.6,23.8,36.0,17.3,22.2,77.6,9.5,33.1,42.6,22.2,7.7,4.2,13.0,20.9
New York Knicks,2015,82,98.4,36.9,84.0,43.9,7.4,21.5,34.6,17.2,21.4,80.5,10.4,34.0,44.4,20.5,5.7,5.7,12.7,19.7
Oklahoma City Thunder,2015,82,110.2,41.1,86.4,47.6,8.3,23.7,34.8,19.7,25.2,78.2,13.1,35.6,48.6,23.0,7.4,5.9,15.5,20.6
Orlando Magic,2015,82,102.1,39.5,86.8,45.5,7.8,22.2,35.0,15.2,20.1,75.7,10.3,33.0,43.3,23.6,8.2,5.1,13.6,20.7
Philadelphia 76ers,2015,82,97.4,36.2,84.0,43.1,9.3,27.5,33.9,15.7,22.6,69.4,9.5,31.8,41.2,21.5,8.3,6.0,15.6,21.7
Phoenix Suns,2015,82,100.9,37.2,85.6,43.5,9.0,25.8,34.8,17.5,23.2,75.1,11.5,33.3,44.8,20.7,7.7,3.8,16.6,22.7
Portland Trail Blazers,2015,82,105.1,38.6,85.9,45.0,10.5,28.5,37.0,17.4,23.0,75.4,11.6,33.9,45.5,21.3,6.9,4.6,14.1,21.7
Sacramento Kings,2015,82,106.6,40.0,86.4,46.3,8.0,22.4,35.9,18.5,25.5,72.5,10.6,33.7,44.2,24.5,8.9,4.5,15.5,20.4
San Antonio Spurs,2015,82,103.5,40.1,82.9,48.4,7.0,18.5,37.5,16.4,20.4,80.3,9.4,34.5,43.9,24.5,8.3,5.9,12.5,17.5
Toronto Raptors,2015,82,102.7,36.7,81.3,45.1,8.6,23.4,37.0,20.8,26.7,77.7,10.2,33.2,43.4,18.7,7.8,5.5,12.1,19.6
Utah Jazz,2015,82,97.7,36.1,80.4,44.9,8.5,23.8,35.5,17.1,23.0,74.4,10.7,32.5,43.2,19.0,7.7,5.2,14.2,20.2
Washington Wizards,2015,82,104.1,39.5,85.8,46.0,8.6,24.2,35.8,16.5,22.5,73.0,9.1,32.8,41.8,24.5,8.6,3.9,13.9,20.8
Atlanta Hawks,2014,82,102.5,38.1,81.7,46.6,10.0,26.2,38.0,16.5,21.2,77.8,8.7,31.8,40.6,25.7,9.1,4.6,13.5,17.8
Boston Celtics,2014,82,101.4,38.9,87.9,44.3,8.0,24.6,32.7,15.4,20.5,75.4,11.1,32.7,43.8,24.5,8.2,3.6,13.3,21.2
Brooklyn Nets,2014,82,98.0,37.4,83.0,45.1,6.6,19.9,33.1,16.6,22.2,74.8,10.3,32.0,42.4,20.9,7.0,4.1,13.4,19.3
Charlotte Hornets,2014,82,94.2,35.5,84.5,42.0,6.1,19.1,31.8,17.0,22.8,74.8,10.0,34.1,44.1,20.2,6.1,5.5,11.2,18.2
Chicago Bulls,2014,82,100.8,36.6,82.9,44.2,7.9,22.3,35.3,19.7,25.2,78.3,11.7,34.0,45.7,21.7,6.3,5.8,13.2,18.2
Cleveland Cavaliers,2014,82,103.1,37.7,82.2,45.8,10.1,27.5,36.7,17.7,23.6,75.1,11.1,31.9,43.0,22.1,7.4,4.1,13.6,18.4
Dallas Mavericks,2014,82,105.2,39.7,85.8,46.3,8.9,25.4,35.2,16.9,22.5,75.2,10.5,31.8,42.3,22.5,8.1,4.5,12.5,20.0
Denver Nuggets,2014,82,101.5,37.8,87.3,43.3,8.0,24.8,32.5,17.8,24.3,73.4,12.3,32.4,44.7,21.8,7.8,4.5,13.8,23.0
Detroit Pistons,2014,82,98.5,37.1,85.8,43.2,8.6,24.9,34.4,15.8,22.4,70.3,12.8,32.1,44.9,21.6,7.6,4.7,12.6,19.0
Golden State Warriors,2014,82,110.0,41.6,87.0,47.8,10.8,27.0,39.8,16.0,20.8,76.8,10.4,34.3,44.7,27.4,9.3,6.0,14.1,19.9
Houston Rockets,2014,82,103.9,37.0,83.3,44.4,11.4,32.7,34.8,18.6,26.0,71.5,11.7,32.0,43.7,22.2,9.5,5.0,15.9,22.0
Indiana Pacers,2014,82,97.3,36.6,83.2,43.9,7.5,21.2,35.2,16.7,22.2,75.6,10.4,34.4,44.9,21.4,6.2,4.6,13.3,21.2
LA Clippers,2014,82,106.7,39.4,83.3,47.3,10.1,26.9,37.6,17.9,25.2,71.0,9.6,33.1,42.6,24.8,7.8,5.0,11.8,21.3
Los Angeles Lakers,2014,82,98.5,37.2,85.6,43.5,6.5,18.9,34.4,17.5,23.6,74.1,11.6,32.3,43.9,20.9,7.0,4.5,12.6,21.2
Memphis Grizzlies,2014,82,98.3,37.8,82.5,45.8,5.2,15.2,33.9,17.6,22.8,77.3,10.4,32.1,42.6,21.7,8.5,4.2,13.0,19.1
Miami Heat,2014,82,94.7,35.2,77.2,45.6,6.8,20.2,33.5,17.5,23.7,74.1,9.1,30.0,39.1,19.8,7.8,4.5,13.9,20.0
Milwaukee Bucks,2014,82,97.8,37.6,82.0,45.9,6.6,18.3,36.3,16.0,21.1,75.7,10.7,31.4,42.1,23.6,9.6,4.9,16.0,22.1
Minnesota Timberwolves,2014,82,97.8,36.4,83.2,43.8,5.0,14.9,33.2,20.0,25.7,77.6,11.6,29.3,40.9,21.6,8.1,4.0,14.3,19.2
New Orleans Pelicans,2014,82,99.4,37.9,82.9,45.7,7.1,19.3,37.0,16.4,21.8,75.1,11.5,32.0,43.5,22.0,6.7,6.2,12.6,18.7
New York Knicks,2014,82,91.9,35.1,82.0,42.8,6.8,19.7,34.7,14.8,19.2,76.9,10.6,29.8,40.4,21.3,7.0,4.7,13.8,21.6
Oklahoma City Thunder,2014,82,104.0,38.8,86.8,44.7,7.7,22.7,33.9,18.6,24.6,75.4,12.8,34.7,47.5,20.5,7.3,5.5,14.0,22.3
Orlando Magic,2014,82,95.7,37.5,82.8,45.3,6.8,19.5,34.7,13.9,19.1,72.9,10.0,31.8,41.8,20.6,7.9,3.8,14.3,20.9
Philadelphia 76ers,2014,82,92.0,33.7,82.6,40.8,8.4,26.3,32.0,16.1,23.8,67.6,11.9,30.9,42.9,20.5,9.6,5.9,16.9,21.7
Phoenix Suns,2014,82,102.4,38.8,85.8,45.2,8.5,25.0,34.1,16.4,21.5,76.0,10.9,32.2,43.2,20.2,8.5,4.7,14.5,21.3
Portland Trail Blazers,2014,82,102.8,38.7,86.0,45.0,9.8,27.2,36.2,15.5,19.4,80.1,10.7,35.1,45.9,21.9,6.4,4.5,13.3,18.2
Sacramento Kings,2014,82,101.3,36.7,80.7,45.5,5.6,16.5,34.1,22.3,29.3,76.2,10.9,33.3,44.2,20.3,6.7,4.0,15.6,20.7
San Antonio Spurs,2014,82,103.2,39.1,83.6,46.8,8.3,22.5,36.7,16.7,21.4,78.0,9.8,33.8,43.6,24.4,8.0,5.4,13.5,19.1
Toronto Raptors,2014,82,104.0,37.9,83.3,45.5,8.9,25.1,35.2,19.3,24.6,78.7,10.7,30.8,41.5,20.7,7.5,4.4,12.2,20.9
Utah Jazz,2014,82,95.1,35.4,79.2,44.7,7.4,21.7,34.3,17.0,23.5,72.1,12.0,31.9,44.0,19.9,7.6,6.0,14.2,19.3
Washington Wizards,2014,82,98.5,38.3,82.8,46.2,6.1,16.8,36.0,15.9,21.4,74.2,10.5,34.2,44.7,24.0,7.3,4.6,14.4,20.8
Atlanta Hawks,2013,82,101.0,37.3,81.6,45.8,9.4,25.8,36.3,17.0,21.7,78.1,8.7,31.3,40.0,24.9,8.3,4.0,14.5,19.2
Boston Celtics,2013,82,96.2,36.5,83.9,43.5,7.0,21.1,33.3,16.2,20.8,77.7,12.0,30.5,42.5,21.0,7.1,4.2,14.4,21.3
Brooklyn Nets,2013,82,98.5,35.7,77.9,45.9,8.6,23.4,36.9,18.4,24.4,75.3,8.8,29.4,38.1,20.9,8.6,3.8,14.0,21.7
Charlotte Bobcats,2013,82,96.9,36.3,82.1,44.2,6.3,17.9,35.1,18.0,24.4,73.7,9.5,33.2,42.7,21.7,6.1,5.1,11.6,18.2
Chicago Bulls,2013,82,93.7,34.7,80.2,43.2,6.2,17.8,34.8,18.1,23.3,77.9,11.4,32.7,44.1,22.7,7.2,5.2,14.0,19.1
Cleveland Cavaliers,2013,82,98.2,37.0,84.8,43.7,7.1,20.0,35.6,17.0,22.7,75.1,12.1,32.1,44.1,21.2,7.1,3.7,13.5,20.0
Dallas Mavericks,2013,82,104.8,39.6,83.6,47.4,8.8,22.9,38.4,16.8,21.1,79.5,10.2,30.7,40.9,23.6,8.6,4.3,13.2,20.0
Denver Nuggets,2013,82,104.4,38.4,85.9,44.7,8.6,23.9,35.8,19.1,26.3,72.6,12.3,33.1,45.4,22.4,7.5,5.6,15.4,23.0
Detroit Pistons,2013,82,101.0,38.8,86.9,44.7,6.2,19.3,32.1,17.3,25.7,67.0,14.6,30.8,45.4,20.9,8.4,4.8,13.9,20.3
Golden State Warriors,2013,82,104.3,39.5,85.4,46.2,9.4,24.8,38.0,15.9,21.1,75.3,10.9,34.4,45.3,23.3,7.8,5.0,14.9,21.8
Houston Rockets,2013,82,107.7,38.0,80.5,47.2,9.5,26.6,35.8,22.1,31.1,71.2,11.2,34.1,45.3,21.4,7.6,5.6,15.4,20.4
Indiana Pacers,2013,82,96.7,36.0,80.2,44.9,6.7,18.8,35.7,18.1,23.3,77.9,10.2,34.5,44.7,20.1,6.7,5.4,14.5,20.4
LA Clippers,2013,82,107.9,39.1,82.5,47.4,8.5,24.0,35.2,21.2,29.1,73.0,10.5,32.5,43.0,24.6,8.6,4.8,13.3,21.5
Los Angeles Lakers,2013,82,103.0,38.3,85.1,45.0,9.4,24.8,38.1,17.0,22.4,75.7,9.1,32.0,41.0,24.5,7.5,5.4,14.8,19.8
Memphis Grizzlies,2013,82,96.1,38.1,82.0,46.4,4.9,14.0,35.3,15.1,20.3,74.1,11.6,30.8,42.4,21.9,7.7,4.6,12.9,19.1
Miami Heat,2013,82,102.2,38.3,76.5,50.1,8.1,22.3,36.4,17.5,23.0,76.0,7.6,29.2,36.9,22.5,8.9,4.5,14.2,19.5
Milwaukee Bucks,2013,82,95.5,36.0,82.2,43.8,6.7,18.9,35.3,16.8,22.5,74.7,11.8,29.3,41.1,21.5,6.6,4.9,14.3,20.9
Minnesota Timberwolves,2013,82,106.9,38.9,87.5,44.4,7.3,21.4,34.1,21.8,28.1,77.8,12.5,32.2,44.7,24.0,8.8,3.6,13.5,18.3
New Orleans Pelicans,2013,82,99.7,37.8,82.5,45.9,5.9,15.9,37.3,18.2,23.6,76.9,11.4,30.3,41.7,21.3,7.9,6.4,13.0,22.6
New York Knicks,2013,82,98.6,36.9,82.2,44.9,9.3,24.9,37.2,15.5,20.4,76.1,10.6,29.7,40.3,20.0,7.7,4.5,12.4,22.1
Oklahoma City Thunder,2013,82,106.2,39.0,82.7,47.1,8.1,22.4,36.1,20.2,25.0,80.6,10.8,33.9,44.7,21.9,8.3,6.1,14.8,22.7
Orlando Magic,2013,82,96.5,36.9,82.7,44.5,6.9,19.5,35.3,15.9,20.9,76.3,9.7,32.4,42.0,21.0,7.7,4.3,14.2,20.5
Philadelphia 76ers,2013,82,99.5,37.9,87.2,43.5,7.0,22.5,31.2,16.6,23.4,71.0,11.6,31.2,42.7,21.8,9.3,4.0,16.4,22.5
Phoenix Suns,2013,82,105.2,38.7,83.5,46.3,9.3,25.1,37.2,18.5,24.4,75.8,11.3,31.7,43.0,19.1,8.4,4.6,14.8,21.9
Portland Trail Blazers,2013,82,106.7,39.1,87.0,45.0,9.4,25.3,37.2,19.1,23.5,81.5,12.5,34.0,46.4,23.2,5.5,4.7,13.3,19.2
Sacramento Kings,2013,82,100.5,36.9,82.5,44.7,6.0,18.0,33.3,20.7,27.3,75.9,12.1,32.4,44.5,18.9,7.2,3.9,14.7,22.5
San Antonio Spurs,2013,82,105.4,40.6,83.5,48.6,8.5,21.4,39.7,15.7,20.0,78.5,9.3,34.0,43.3,25.2,7.4,5.1,14.1,18.2
Toronto Raptors,2013,82,101.3,36.5,81.9,44.5,8.7,23.4,37.2,19.6,25.1,78.2,11.4,31.1,42.5,21.2,7.0,4.2,13.4,23.0
Utah Jazz,2013,82,95.0,36.0,81.1,44.4,6.6,19.2,34.4,16.4,22.0,74.7,11.0,30.2,41.2,20.3,7.0,4.5,14.0,20.7
Washington Wizards,2013,82,100.7,38.7,84.4,45.9,7.9,20.8,38.0,15.3,20.9,73.1,10.8,31.4,42.2,23.3,8.1,4.6,14.1,20.4
Atlanta Hawks,2012,82,98.0,37.6,81.0,46.4,8.6,23.2,37.1,14.1,19.7,71.5,9.2,31.6,40.9,24.5,8.1,4.5,14.3,18.0
Boston Celtics,2012,81,96.5,37.0,79.7,46.5,6.1,17.2,35.8,16.3,21.0,77.6,8.1,31.3,39.3,22.8,8.2,4.5,13.9,21.2
Brooklyn Nets,2012,82,96.9,35.9,79.8,45.0,7.7,21.5,35.7,17.5,23.9,73.1,12.8,30.0,42.8,20.3,7.3,4.8,13.9,18.3
Charlotte Bobcats,2012,82,93.4,34.4,81.1,42.5,5.7,17.1,33.5,18.9,25.1,75.0,11.2,29.1,40.3,19.4,7.2,5.8,13.1,19.0
Chicago Bulls,2012,82,93.2,35.7,81.7,43.7,5.4,15.4,35.3,16.4,21.2,77.3,12.5,30.7,43.2,23.0,7.2,5.1,13.7,19.7
Cleveland Cavaliers,2012,82,96.5,36.5,84.2,43.4,6.7,19.3,34.6,16.8,22.3,75.6,12.2,28.8,41.0,20.7,7.9,4.1,13.4,21.2
Dallas Mavericks,2012,82,101.1,38.8,84.0,46.2,7.4,19.9,37.2,16.1,20.4,79.3,9.4,32.6,41.9,23.2,7.9,5.5,13.5,20.7
Denver Nuggets,2012,82,106.1,40.7,85.2,47.8,6.4,18.5,34.3,18.4,26.2,70.1,13.3,31.7,45.0,24.4,9.3,6.5,14.7,20.5
Detroit Pistons,2012,82,94.9,36.3,81.0,44.9,6.3,17.6,35.6,15.9,22.8,69.9,12.1,30.0,42.1,21.2,7.0,4.9,14.6,19.8
Golden State Warriors,2012,82,101.2,38.2,83.4,45.8,8.0,19.9,40.3,16.8,21.3,79.0,10.8,34.2,45.0,22.5,6.9,4.2,14.8,21.4
Houston Rockets,2012,82,106.0,38.1,82.7,46.1,10.6,28.9,36.6,19.2,25.5,75.4,11.1,32.3,43.4,23.2,8.3,4.4,15.8,20.3
Indiana Pacers,2012,81,94.7,35.1,80.6,43.6,6.9,19.7,34.7,17.6,23.6,74.6,12.9,33.0,45.9,20.3,7.2,6.3,14.5,20.0
LA Clippers,2012,82,101.1,38.5,80.6,47.8,7.6,21.4,35.8,16.4,23.0,71.1,11.4,30.2,41.6,23.9,9.6,5.6,13.8,20.9
Los Angeles Lakers,2012,82,102.2,37.1,81.0,45.8,8.7,24.6,35.5,19.3,27.9,69.2,11.5,33.3,44.8,22.2,7.0,5.2,14.6,17.9
Memphis Grizzlies,2012,82,93.4,36.1,81.5,44.4,4.7,13.5,34.5,16.5,21.3,77.3,12.9,29.8,42.7,20.9,8.6,5.3,13.2,20.2
Miami Heat,2012,82,102.9,38.4,77.4,49.6,8.7,22.1,39.6,17.4,23.0,75.4,8.2,30.4,38.6,23.0,8.7,5.4,13.3,18.7
Milwaukee Bucks,2012,82,98.9,38.1,87.8,43.5,7.3,20.4,36.0,15.3,20.7,73.6,13.0,30.9,44.0,22.9,8.4,6.7,13.6,19.0
Minnesota Timberwolves,2012,82,95.7,35.9,81.7,43.9,5.5,18.0,30.5,18.5,24.9,74.2,11.9,30.2,42.0,22.4,8.5,4.7,14.1,18.4
New Orleans Hornets,2012,82,94.1,36.0,80.4,44.8,6.5,18.0,36.3,15.5,20.0,77.6,12.0,29.6,41.6,21.0,6.3,5.4,13.7,20.4
New York Knicks,2012,82,100.0,36.5,81.6,44.8,10.9,28.9,37.6,16.0,21.1,75.9,10.9,29.7,40.6,19.3,8.2,3.6,11.6,20.1
Oklahoma City Thunder,2012,82,105.7,38.1,79.3,48.1,7.3,19.4,37.7,22.2,26.8,82.8,10.4,33.2,43.6,21.4,8.3,7.6,14.6,20.2
Orlando Magic,2012,82,94.1,37.7,84.2,44.8,6.2,18.7,32.9,12.5,16.6,75.5,10.9,31.9,42.7,22.8,6.4,4.4,14.0,19.4
Philadelphia 76ers,2012,82,93.2,37.3,84.1,44.4,6.3,17.5,36.0,12.2,16.8,72.9,10.9,30.4,41.3,22.8,7.4,4.7,12.6,18.4
Phoenix Suns,2012,82,95.2,37.3,84.4,44.3,5.9,17.7,33.0,14.7,19.7,74.4,11.7,29.9,41.6,22.6,8.0,5.3,14.9,20.6
Portland Trail Blazers,2012,82,97.5,36.7,81.9,44.8,8.2,23.2,35.3,15.9,20.5,77.6,10.7,30.2,40.8,21.8,6.6,4.3,14.2,18.5
Sacramento Kings,2012,82,100.2,37.6,84.2,44.7,7.4,20.5,36.3,17.5,22.8,76.9,11.5,29.1,40.6,20.8,8.2,4.2,14.0,20.9
San Antonio Spurs,2012,82,103.0,39.1,81.4,48.1,8.1,21.5,37.6,16.6,21.0,79.1,8.1,33.2,41.3,25.1,8.5,5.4,14.1,17.4
Toronto Raptors,2012,82,97.2,36.3,81.5,44.6,7.0,20.3,34.3,17.6,22.3,78.8,10.6,29.6,40.2,21.5,7.3,4.8,13.2,22.4
Utah Jazz,2012,82,98.0,37.1,81.8,45.4,6.2,16.9,36.6,17.5,23.0,76.4,12.1,30.0,42.0,22.7,8.4,6.3,14.2,21.3
Washington Wizards,2012,82,93.2,35.5,81.6,43.5,6.6,18.2,36.5,15.6,21.3,73.3,10.8,32.3,43.2,21.6,7.3,4.6,14.6,20.5
Atlanta Hawks,2011,66,96.6,36.8,81.0,45.4,7.5,20.2,37.0,15.5,21.0,74.0,9.9,31.3,41.2,22.4,8.1,4.6,14.0,17.8
Boston Celtics,2011,66,91.8,35.5,77.1,46.0,5.5,15.0,36.7,15.4,19.8,77.8,7.7,31.1,38.8,23.6,7.5,5.5,14.8,19.9
Charlotte Bobcats,2011,66,87.0,33.2,80.2,41.4,4.0,13.5,29.5,16.5,22.2,74.6,10.3,28.7,39.0,20.1,6.0,5.5,14.5,18.9
Chicago Bulls,2011,66,96.3,37.4,82.8,45.2,6.3,16.9,37.5,15.2,21.1,72.2,13.9,32.8,46.7,23.1,6.9,5.9,14.0,17.3
Cleveland Cavaliers,2011,66,93.0,34.3,81.2,42.2,6.7,19.3,34.6,17.8,24.9,71.6,12.7,29.5,42.3,19.8,7.1,4.0,15.4,20.0
Dallas Mavericks,2011,66,95.8,36.3,82.0,44.3,7.5,22.2,33.9,15.6,20.2,77.1,10.1,32.7,42.8,20.9,8.6,5.1,14.0,18.6
Denver Nuggets,2011,66,104.1,39.0,81.9,47.6,6.6,19.9,33.2,19.6,26.7,73.5,11.2,31.9,43.1,24.0,8.2,5.0,15.4,19.7
Detroit Pistons,2011,66,90.9,34.7,79.3,43.8,4.8,13.9,34.6,16.6,22.1,75.2,11.7,28.5,40.3,18.7,7.0,4.2,15.7,19.6
Golden State Warriors,2011,66,97.8,37.7,82.5,45.7,7.9,20.5,38.8,14.4,18.7,77.0,9.7,29.5,39.2,22.3,8.0,5.5,13.9,21.4
Houston Rockets,2011,66,98.1,37.7,84.0,44.9,7.2,20.2,35.9,15.4,19.7,78.2,11.7,30.5,42.2,21.3,7.5,4.8,14.5,20.4
Indiana Pacers,2011,66,97.7,35.7,81.4,43.8,5.9,16.1,36.8,20.4,26.1,78.2,12.5,31.4,43.9,18.6,7.9,5.4,14.0,21.7
LA Clippers,2011,66,97.5,37.0,81.3,45.5,7.8,21.8,35.7,15.8,23.3,68.0,12.1,29.4,41.6,21.0,8.4,4.8,13.3,21.2
Los Angeles Lakers,2011,66,97.3,36.8,80.6,45.7,5.5,16.8,32.6,18.2,24.1,75.6,12.1,34.1,46.2,22.5,5.9,5.3,15.1,16.8
Memphis Grizzlies,2011,66,95.0,36.7,82.2,44.7,4.2,12.9,32.6,17.3,22.8,75.9,12.6,29.5,42.0,19.5,9.6,5.2,14.5,19.9
Miami Heat,2011,66,98.5,37.1,79.0,46.9,5.6,15.6,35.9,18.8,24.2,77.5,10.4,31.2,41.6,20.0,8.9,5.4,15.2,19.4
Milwaukee Bucks,2011,66,99.0,37.9,85.6,44.3,6.6,19.2,34.5,16.6,21.4,77.4,12.4,30.0,42.5,23.5,8.3,5.1,14.1,19.3
Minnesota Timberwolves,2011,66,97.9,35.7,82.3,43.3,7.2,21.6,33.2,19.4,25.2,77.1,12.1,31.7,43.7,19.5,6.6,4.4,15.2,18.4
New Jersey Nets,2011,66,93.1,34.3,80.6,42.5,7.7,22.4,34.2,16.9,21.7,77.7,11.9,28.5,40.3,19.9,7.5,3.9,15.1,19.2
New Orleans Hornets,2011,66,89.6,34.8,77.3,45.1,3.9,11.8,33.3,16.0,21.2,75.7,11.0,30.2,41.1,20.7,7.4,4.8,15.5,20.1
New York Knicks,2011,66,97.8,35.8,80.8,44.3,7.8,23.3,33.6,18.3,24.8,74.1,11.3,30.5,41.7,20.1,9.4,4.2,16.0,21.1
Oklahoma City Thunder,2011,66,103.1,37.3,79.2,47.1,7.2,20.0,35.8,21.3,26.4,80.6,11.0,32.7,43.7,18.5,7.5,8.2,16.3,20.5
Orlando Magic,2011,66,94.2,34.5,78.2,44.1,10.2,27.0,37.5,15.1,22.8,66.0,11.2,31.2,42.5,20.0,6.8,4.2,14.9,17.7
Philadelphia 76ers,2011,66,93.6,37.4,83.6,44.8,5.3,14.6,36.2,13.5,18.2,74.2,10.7,32.5,43.2,22.0,8.0,5.2,11.2,17.5
Phoenix Suns,2011,66,98.4,37.8,82.5,45.8,6.7,19.6,34.3,16.0,21.2,75.7,10.9,30.8,41.7,22.5,6.5,5.5,14.1,18.7
Portland Trail Blazers,2011,66,97.2,36.4,82.1,44.3,7.2,20.9,34.6,17.2,21.6,79.6,11.1,29.5,40.7,20.4,8.0,4.9,14.2,19.0
Sacramento Kings,2011,66,98.8,37.7,86.5,43.6,6.2,19.7,31.6,17.1,23.2,73.6,13.4,29.5,42.9,19.3,8.5,4.9,14.4,19.5
San Antonio Spurs,2011,66,103.7,39.6,82.8,47.8,8.4,21.3,39.3,16.2,21.6,74.8,10.3,32.6,43.0,23.2,7.4,4.4,13.6,17.3
Toronto Raptors,2011,66,90.7,34.4,78.1,44.0,5.5,16.3,34.0,16.4,21.4,76.9,10.6,31.4,42.0,20.9,6.5,4.9,15.2,23.2
Utah Jazz,2011,66,99.7,38.2,83.8,45.6,4.1,12.8,32.3,19.1,25.3,75.4,13.0,31.1,44.2,21.8,8.3,5.8,14.2,21.8
Washington Wizards,2011,66,93.6,36.6,83.0,44.1,5.2,16.3,32.0,15.3,21.0,72.7,11.7,29.9,41.7,19.1,8.0,6.3,15.3,21.3
Atlanta Hawks,2010,82,95.0,36.2,78.4,46.2,6.1,17.4,35.2,16.4,21.1,77.9,9.3,30.0,39.3,22.0,6.1,4.2,13.6,19.0
Boston Celtics,2010,82,96.5,36.9,75.8,48.6,5.0,13.6,36.5,17.8,23.1,77.0,7.8,31.0,38.8,23.4,8.2,4.2,14.6,20.5
Charlotte Bobcats,2010,82,93.3,35.0,77.6,45.1,4.8,14.7,32.7,18.4,24.4,75.6,10.3,29.8,40.1,21.1,6.4,5.3,14.5,20.0
Chicago Bulls,2010,82,98.6,37.1,80.3,46.2,6.2,17.3,36.1,18.2,24.5,74.3,11.8,32.4,44.2,22.3,7.2,5.7,14.2,20.0
Cleveland Cavaliers,2010,82,95.5,35.2,81.1,43.4,6.2,18.2,34.2,18.9,25.3,74.5,10.4,29.9,40.3,21.0,6.6,4.2,14.2,20.1
Dallas Mavericks,2010,82,100.2,37.4,78.8,47.5,7.9,21.6,36.5,17.5,22.6,77.7,9.5,31.9,41.4,23.8,6.8,4.3,14.0,19.2
Denver Nuggets,2010,82,107.5,38.4,80.6,47.6,8.1,20.8,38.8,22.7,29.6,76.5,9.6,32.3,42.0,22.1,7.4,4.3,14.1,21.0
Detroit Pistons,2010,82,97.0,37.3,81.1,46.0,5.8,15.3,37.6,16.7,22.6,73.7,11.4,27.3,38.6,21.1,7.3,4.0,13.0,19.9
Golden State Warriors,2010,82,103.4,39.6,85.9,46.1,8.4,21.3,39.2,15.7,20.7,76.1,11.6,28.9,40.5,22.5,9.0,5.0,14.6,22.0
Houston Rockets,2010,82,105.9,38.7,85.1,45.4,8.3,22.5,36.7,20.3,25.4,80.1,11.7,31.1,42.8,23.8,7.1,4.5,13.5,20.0
Indiana Pacers,2010,82,99.8,36.6,82.8,44.2,7.1,20.2,35.4,19.4,24.8,78.2,11.1,32.4,43.5,19.6,7.1,5.6,15.4,21.7
LA Clippers,2010,82,98.6,36.8,80.4,45.7,6.3,18.5,33.8,18.9,26.7,70.7,11.6,30.5,42.1,22.1,7.1,4.9,16.4,21.1
Los Angeles Lakers,2010,82,101.5,38.1,82.4,46.3,6.4,18.1,35.2,18.8,24.1,77.9,12.1,31.9,44.0,22.0,7.3,5.1,13.1,19.0
Memphis Grizzlies,2010,82,99.9,39.0,82.9,47.1,3.8,11.3,33.4,18.1,24.2,75.0,11.8,29.2,41.0,20.6,9.4,5.4,14.0,20.8
Miami Heat,2010,82,102.1,37.0,76.8,48.1,6.7,18.0,37.0,21.5,27.9,76.9,9.6,32.5,42.1,20.0,6.6,5.2,13.9,20.4
Milwaukee Bucks,2010,82,91.9,34.3,79.8,43.0,5.9,17.2,34.2,17.4,22.9,75.7,10.5,30.2,40.8,18.8,7.5,4.9,13.5,20.5
Minnesota Timberwolves,2010,82,101.1,37.7,85.5,44.1,7.2,19.1,37.6,18.5,24.1,76.8,13.2,31.2,44.4,20.1,7.2,5.1,17.0,22.3
New Jersey Nets,2010,82,94.2,35.6,81.0,44.0,5.6,16.3,34.3,17.4,22.9,75.9,11.1,29.8,40.8,21.0,5.6,4.7,14.0,22.0
New Orleans Hornets,2010,82,94.9,35.9,78.2,45.9,5.4,15.0,36.0,17.7,23.1,76.5,10.0,30.1,40.1,20.6,7.6,4.4,13.0,21.0
New York Knicks,2010,82,106.5,38.3,83.7,45.7,9.3,25.4,36.8,20.6,25.5,80.9,10.3,30.1,40.5,21.4,7.6,5.8,13.7,21.3
Oklahoma City Thunder,2010,82,104.8,37.4,80.6,46.4,5.9,17.1,34.7,24.1,29.3,82.3,11.0,31.8,42.8,20.4,8.0,5.9,14.1,22.4
Orlando Magic,2010,82,99.2,36.0,78.2,46.1,9.4,25.6,36.6,17.7,25.6,69.2,10.5,32.7,43.2,20.0,6.7,4.7,14.9,20.0
Philadelphia 76ers,2010,82,99.0,38.1,82.6,46.1,5.4,15.2,35.5,17.4,22.6,77.0,10.4,31.4,41.8,22.7,7.6,4.3,13.0,19.4
Phoenix Suns,2010,82,105.0,39.3,83.5,47.0,8.5,22.6,37.7,18.0,23.6,75.9,10.0,30.2,40.2,23.7,6.6,4.4,14.3,20.3
Portland Trail Blazers,2010,82,96.3,36.0,80.5,44.7,6.3,18.3,34.5,18.0,22.4,80.4,12.1,27.2,39.3,21.2,8.0,4.4,13.0,19.3
Sacramento Kings,2010,82,99.4,38.2,85.1,44.9,5.2,15.6,33.5,17.7,24.2,73.4,13.1,30.8,43.9,20.4,7.4,4.8,16.1,22.0
